Month,Day,Title,Platform(s),Genre(s),Developer(s),Publisher(s),Ref.
M A R C H,8,Ghostwire: Tokyo - Prelude,Win,Visual novel,Tango Gameworks,Bethesda Softworks,[233]
M A R C H,8,SpellForce 3 Reforced,"PS4, PS5, XBO, XSX","Real-time strategy, role-playing",Grimlore Games,THQ Nordic,[239]
M A R C H,10,.hack//G.U. Last Recode,NS,Action role-playing,CyberConnect2,Bandai Namco Entertainment,[240]
M A R C H,10,Century: Age of Ashes,XSX,"Aerial combat, third-person shooter",Playwing,Playwing,[241]
M A R C H,10,Chocobo GP,NS,Kart racing,Square Enix,Square Enix,[242]
M A R C H,10,Distant Worlds 2,Win,4X,Code Force,Slitherine Software,[243]
M A R C H,10,Iron Lung,Win,"Survival horror, adventure",David Szymanski,David Szymanski,[244]
M A R C H,10,République: Anniversary Edition,"NS, PS4, PS5","Action-adventure, stealth",Camouflaj,Camouflaj,[245]
M A R C H,10,Submerged: Hidden Depths,"Win, PS4, PS5, XBO, XSX",Adventure,Uppercut Games,Uppercut Games,[246]
M A R C H,11,Chex Quest HD,NS,First-person shooter,Flight School Studio,General Mills,[247]
M A R C H,11,Poppy Playtime,"iOS, Droid",Survival horror,Mob Games,Mob Games,[248]
M A R C H,11,WWE 2K22,"Win, PS4, PS5, XBO, XSX",Sports,Visual Concepts,2K Sports,[249]
M A R C H,14,Bleach: Brave Souls,PS4,Action,KLabGames,KLabGames,[250]
M A R C H,15,Dawn of the Monsters,"Win, NS, PS4, PS5, XBO, XSX",Beat 'em up,13AM Games,WayForward,[251]
M A R C H,15,Grand Theft Auto Online,"PS5, XSX",Action-adventure,Rockstar North,Rockstar Games,[252]
M A R C H,15,Grand Theft Auto V,"PS5, XSX",Action-adventure,Rockstar North,Rockstar Games,[252]
M A R C H,15,Phantom Breaker: Omnia,"Win, NS, PS4, XBO",Fighting,"GameLoop, Mages",Rocket Panda Games,[253]
M A R C H,16,Paradise Killer,"PS4, PS5, XBO, XSX",Adventure,Kaizen Gaming,Fellow Traveller,[254]
M A R C H,16,Tunic,"Win, Mac, XBO, XSX",Action-adventure,Andrew Shouldice,Finji,[255]
M A R C H,17,Dance Dance Revolution A3,Arcade,"Music, exercise",Bemani,Konami,[256]
M A R C H,17,Dark Deity,NS,Tactical role-playing,Sword & Axe LLC,Freedom Games,[257]
M A R C H,17,Gal Gun: Double Peace,NS,Rail shooter,Inti Creates,PQube,[258]
M A R C H,17,Monster Energy Supercross: The Official Videogame 5,"Win, PS4, PS5, XBO, XSX",Racing,Milestone S.r.l.,Milestone S.r.l.,[259]
M A R C H,17,Neptuna x Senran Kagura: Ninja Wars[c],NS,Role-playing,"Idea Factory, Compile Heart, Tamsoft",Compile Heart,[260]
M A R C H,17,Persona 4 Arena Ultimax,"Win, NS, PS4",Fighting,"Arc System Works, P-Studio",Atlus,[261]
M A R C H,18,Kowloon High-School Chronicle,PS4,"Dungeon crawler, role-playing, visual novel, puzzle",Toybox Inc.,Arc System Works,[262]
M A R C H,18,Stranger of Paradise: Final Fantasy Origin,"Win, PS4, PS5, XBO, XSX",Action role-playing,Team Ninja,Square Enix,[263]
M A R C H,18,Syberia: The World Before,Win,Adventure,Microids,Microids,[264]
M A R C H,22,Rune Factory 5[a][b],NS,"Role-playing, simulation",Hakama,Xseed Games,[265]
M A R C H,22,Tempest 4000,"NS, Atari VCS",Shoot 'em up,Llamasoft,Atari,[266]
M A R C H,23,Hatsune Miku Jigsaw Puzzle,NS,Puzzle,Crypton Future Media,Crypton Future Media,[267]
M A R C H,24,A Memoir Blue,"Win, NS, PS4, PS5, XBO, XSX",Interactive novel,Cloisters Interactive,Annapurna Interactive,[268]
M A R C H,24,The Ascent,"PS4, PS5",Action role-playing,Neon Giant,Curve Digital,[269]
M A R C H,24,Miss Kobayashi's Dragon Maid: Sakuretsu!! Chorogon Breath[c],"NS, PS4",Shoot 'em up,Bushiroad,Bushiroad,[270]
M A R C H,24,Norco,"Win, Mac",Adventure game,Geography of Robots,Raw Fury,[271]
M A R C H,24,Relayer,"PS4, PS5",Tactical role-playing,Kadokawa Games,JP: Kadokawa GamesWW: Clouded Leopard Entertainment,[272]
M A R C H,24,Tentacular,Win,"Action-adventure, puzzle",Firepunchd,Devolver Digital,[273]
M A R C H,25,Adventure Time: Pirates of the Enchiridion,Stadia,Action-adventure,Climax Studios,Outright Games,[274]
M A R C H,25,Andro Dunos II,"3DS, Win, NS, PS4",Shoot 'em up,Picorinne Soft,"Just For Games, PixelHeart",[275]
M A R C H,25,Ghostwire: Tokyo,"Win, PS5",Action-adventure,Tango Gameworks,Bethesda Softworks,[276]
M A R C H,25,Kirby and the Forgotten Land,NS,Platform,HAL Laboratory,Nintendo,[200]
M A R C H,25,Rune Factory 5[d],NS,"Role-playing, simulation",Hakama,Marvelous Europe,[265]
M A R C H,25,Tiny Tina's Wonderlands,"Win, PS4, PS5, XBO, XSX","Action role-playing, first-person shooter",Gearbox Software,2K Games,[277]
M A R C H,26,Kowloon High-School Chronicle[b],PS4,"Dungeon crawler, role-playing, visual novel, puzzle",Toybox Inc.,Arc System Works,[278]
M A R C H,29,Apex Legends,"PS5, XSX","Battle royale, first-person hero shooter",Respawn Entertainment,Electronic Arts,[279]
M A R C H,29,Crusader Kings III,"PS5, XSX",Strategy,"Paradox Development Studio, Lab42",Paradox Interactive,[280]
M A R C H,29,Crystar[a][b],NS,Action role-playing,Gemdrops,NIS America,[281]
M A R C H,29,Patrick's Parabox,"Win, Mac, Lin",Puzzle,Patrick Taynor,Patrick Taynor,[282]
M A R C H,29,Shiren the Wanderer: The Tower of Fortune and the Dice of Fate[c],"iOS, Droid","Roguelike, role-playing",Spike Chunsoft,Spike Chunsoft,[283]
M A R C H,29,WRC 10,NS,Racing,Kylotonn,Nacon,[284]
M A R C H,30,Big Bang Pro Wrestling,NS,Fighting,SNK,SNK,[285]
M A R C H,30,Dead Man's Diary,Win,"Adventure, Survival",TML-Studios,TML-Studios,[286]
M A R C H,30,Death Stranding Director's Cut,Win,Action,Kojima Productions,505 Games,[287]
M A R C H,31,Cosmonious High,Win,Adventure,Owlchemy Labs,Owlchemy Labs,[288]
M A R C H,31,G-Darius HD,Win,Shoot 'em up,"Taito, M2",Taito,[289]
M A R C H,31,Hero Dice[c],"iOS, Droid","Board, card, strategy",Tango Gameworks,Zenimax Asia,[290]
M A R C H,31,Lawn Mowing Simulator,"PS4, PS5",Simulation,Skyhook Games,Curve Games,[291]
M A R C H,31,Moss: Book 2,PS4,"Adventure, puzzle",Polyarc,Polyarc,[292]
M A R C H,31,Real Heroes: Firefighter HD,XBO,First-person shooter,Sickhead Games,Ziggurat Interactive,[293]
M A R C H,31,Tropico 6,"PS5, XSX","Construction and management simulation, government simulation",Realmforge Studios,Kalypso Media,[294]
M A R C H,31,Weird West,"Win, PS4, XBO",Action role-playing,WolfEye Studios,Devolver Digital,[295]
