Month,Day,Title,Platform(s),Genre(s),Developer(s),Publisher(s),Ref.
J U N E,1,Deathrun TV,"Win, Mac, NS, Stadia",Roguelike,Laser Dog,Merge Games,[436]
J U N E,1,Deliver Us the Moon,Stadia,Adventure,KeokeN Interactive,Wired Productions,[437]
J U N E,1,Lake,Stadia,Adventure,Whitethorn Digital,Whitethorn Digital,[437]
J U N E,1,Silt,"Win, NS, PS4, PS5, XBO, XSX",Adventure,Spiral Circus,Fireshine Games,[438]
J U N E,1,The Big Con: Grift of the Year Edition,NS,Adventure,Mighty Yell,Skybound Games,[439]
J U N E,1,Through the Darkest of Times,Stadia,Strategy,Massive Miniteam,HandyGames,[440]
J U N E,2,Behind the Frame: The Finest Scenery,"NS, PS4",Adventure,Silver Lining Studio,"Akupara Games, Akatsuki Taiwan, Inc.",[441]
J U N E,2,Card Shark,"Win, NS",Adventure,Nerial,Devolver Digital,[442]
J U N E,2,Diablo Immortal,"iOS, Droid, Win",Action role-playing,"Blizzard Entertainment, NetEase",Blizzard Entertainment,[443]
J U N E,2,Fishing Paradiso,"Win, Mac, Lin, NS",Role-playing,Odencat,Odencat,[444]
J U N E,2,Gigapocalypse,"NS, PS4, XBO",Action,Goody Gameworks,Headup,[445]
J U N E,2,Gravitar: Recharged,"Win, Mac, Lin, NS, PS4, PS5, XBO, XSX, iOS, Droid",Action,"Adamvision Studios, SneakyBox",Atari,[446]
J U N E,2,Jim Power: The Lost Dimension in 3-D,"NS, PS4",Platform,Piko Interactive,QUByte Interactive,[447]
J U N E,2,Souldiers,"Win, NS, PS4, PS5, XBO, XSX",Action role-playing,Retro Forge,Dear Villagers,[448]
J U N E,2,TOKOYO: The Tower of Perpetuity,"Win, NS",Action,//commentout,Playism,[449]
J U N E,3,Frogger and the Rumbling Ruins,iOS,Puzzle,Q-Games,Konami,[450]
J U N E,3,Loopers[a],NS,Visual novel,Key,Prototype,[451]
J U N E,3,Five Memories of My Time with You[c],"NS, PS4",Adventure,Mages,Mages,[452]
